User Name,Number of Reviews by User,RfnDt 2,Time When reviewed,Reviews
Marc Deschênes,1 review,,2 years ago,I'm told it closes at 5:00 p.m. but I'm online with a package 📦 in my hands and it's not 5:00 p.m. yet. Two customers in front of me and I am asked to come back tomorrow opposite to increase their pace in order to serve customers who arriv …
Esther Otto (Mom Esther),11 reviews,,2 years ago,"I go to my post office box, a key to take a package is put in my box... I open the box to the package... NOTHING! 2nd time I've been badly served by you. thanks for nothing"
Maxime Boivin,1 review,,3 years ago,Esti of a lazy delivery man who leaves my parcel in the parcel locker instead of coming to our house... -5 stars for this rotten deliver …
Nadège Fatou RICHARD,· 293 reviews,Local Guide,10 months ago,"great service
Fast, clear and convenient"
Steve Tran,· 140 reviews,Local Guide,2 years ago,
Dana Bennett,4 reviews,,3 years ago,
Miranda Ohare,6 reviews,,7 months ago,"Closed an hour early than regular closing hours as well as on the slip they gave me to pick up my package
The clerk served two people in front of me before another clerk came in and …"
Stephane Joanisse,13 reviews,,4 weeks ago,20 ppl in line most week nights 7pm. Only one guy working? 30 min for one package is ridiculous. The world works 9-5
Michel M,1 review,,2 years ago,"Went to ship a package by courier. Attendant did not provide me a reference number and lost my reciept. Now i cannot find my package and store isn''t helpful. They sent me to canada post, canada post said the store should provide tracking …"
Sébastien Laurier,4 reviews,,3 years ago,"Regular staff were unable to process a coin refund without the manager and had me come back an hour later after he came back from lunch. After my return, the manager told me he cant process it because it was sold at a different canada post. …"
Lulu,· 186 reviews,Local Guide,3 years ago,"Best Canada Post I've been to so far in the region. Service is excellent and most importantly, staff is so nice, helpful and always smiling. This has became my postal office of choice. I highly recommend going there for your postal services."
YiDi Zhou,12 reviews,,2 years ago,"Excellent service.
I missed a tracking number of the parcel for my son birthday gift but they still helped me to find the parcel tracking number. Thanks."
Sean Decaire,· 31 reviews,Local Guide,3 years ago,RECENTLY THIS WEEK i have been disappointed by location but typically perfect service....
Ian Thomson,· 45 reviews,Local Guide,2 years ago,"Fast, efficient, courteous, helpfully, outstanding! 😎 …"
Simo Hajama,1 review,,10 months ago,Worst customer service 🤮 …
Naima Benamar,3 reviews,,10 months ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Sharon Yeung,4 reviews,,5 months ago,"Convenient location and relatively convenient hours, good stock of mailing supplies. However, I have had several interactions with a male staff person there who is particularly condescending and rude. He does not appear eager to help and his attitude makes it seem as if every question or request is an imposition as opposed to his job."
ako,4 reviews,,4 months ago,The absolute worst! I needed to pick up my passport sent by the US Consulate having being marooned in Canada for a week longer than I expected. The staff here were completely unsupportive. They have no WiFi for you to connect to and pull up …
Ty Tufts,1 review,,a month ago,The guy there was horrible. He had a beard and longer hair. I asked for passport papers (which they give out) he was super sassy and said that they are a post office and don’t do that. So if i dont have anything to mail then I’m not in the …
Adit Tiwari,· 35 reviews,Local Guide,4 months ago,"Would have given 0 star if i could, male staff seems to be so frustrated with his job(should quit because he is not happy working there), he was rude and shouting on each and every one of the customers. Canada post need to train there …"
P Iko,24 reviews,,a week ago,The staff here were fantastic and amazingly helpful.  No idea why there are negative comments here which is probably the fact that the patrons have zero patience when this store is super busy.  I was a witness to one of the complaintants …
Mandana Khalili,4 reviews,,6 months ago,If I was able to give zero star I would!!! The male staff is the worst person on earth. He is really rude disrespectful and mean and he treats people like they are all stupid and he is the one knowing better!!!! He is disgusting. Canada Post needs to be embarrassed over these employees. Just avoid him if there!!!!
RKS,· 319 reviews,Local Guide,4 years ago,"Okay postal station with mostly helpful staff. Location sells envelopes, boxes, tape and other such shipping supplies. Plus they sell collectable coins. Has a small number of PO Boxes available."
Ty Tufts,6 reviews,,a month ago,Does anyone know the name of the man working there? I see other people have had bad experiences with him. I would like to report him. It was very weird to be spoken to by a grown adult like that. I am only 19!
Melody Yin,1 review,,6 months ago,Went in there and no staff helping at all. I waited for a while and then had to ask “excuse me anyone could help” and a lady showed up accused me being rude. And she said “ u got what you deserved. “ i don’t particularly understand what …
Sylvia Eayrs,5 reviews,,6 months ago,The clerks who work here are extremely incompetent. It took three different employees to figure out how to process and send out my very basic international package this morning. You'd think this would be straightforward but I was here for …
Brittani Ellis,· 45 reviews,Local Guide,10 months ago,"What a terrible experience. The clerk was condescending and rude. I was in a serious car accident and he made a comment because I was unable to lift the box I had wheeled in. But then when he lifted it he said ""oh it actually isn't that …"
Jatin Alag,7 reviews,,4 months ago,"I Visited on 09th Jan 2023 in the afternoon, Male Staff at the Counter is Very Rude, Worst customer Service ever seen by Him, Hope i Can give Zero Star."
kasra rabiei,1 review,,6 months ago,"Rude staff, the man in there was so rude and meanful person, bad behavior and he threw my box on table and at the back he was saing bad words.   I didnt see like this before.   I was shocked"
Moana C,27 reviews,,10 months ago,"Avoid this location. There's plenty of other Canada Post locations in the area, it's best to not come here. The staff are rude and not helpful. There was a long line up of customers waiting but one of the staff was too busy flirting with a …"
Satarupa,· 130 reviews,Local Guide,7 months ago,"I had to collect my visa stamped passport from here and had a pretty much seamless experience as the gentleman at the counter processed it pretty quick.
I had to show ID with an address proof and got my parcel."
Feruz Akbarov,6 reviews,,3 months ago,It opens at 8 am. I spent 1 minute to pick up my passport.
S K,5 reviews,,a year ago,William from this location (or at least that’s the name on my receipt) was extremely helpful and went above the call of duty. He really helped me through a stressful situation with professionalism and never losing his cool. I don’t normally …
Rushikesh Parekh,· 9 reviews,Local Guide,6 months ago,"Avoid this location at all cost, best to not come here. The staff are rude and not helpful. Zero customer service skills!"
Valerie Danchie,3 reviews,,6 months ago,Rude and condescending male employees. Better ignore them and wait till the lady on the right is free to help you.
Hely Parikh,2 reviews,,6 months ago,Avoid this location. The two male staff are very rude and not helpful. Do better Canada Post
Carol P.,14 reviews,,11 months ago,"I like female employees here, they are very nice and friendly
There are two male employees are very rude, and make your feel that ""why you come here?"" ""Why not go to another location"" kind of feeling....just Terrible"
Skr Reddy,1 review,,5 months ago,the guy at the counter today was really helpful and made it easy for me. Kudos to you sir!
Diego Belem,12 reviews,,a month ago,The guy helping at the front is very rude and condescending
Sakina Dahodwala,· 156 reviews,Local Guide,a year ago,Very helpful staff. I went their for a return off and asked for help to pack my item. The staff went beyond my expectation and made it so easy for me.
Wil Gouzelis,1 review,,a year ago,I beg to differ w/ the previous commentor (...one J.C.). Just 'cause the two overburdened clerks won 't simply 'drop everything' + ask other clients to 'stand aside' --- whereby they can instead accord ALL their time & effort (...to J.C.) …
Vahid Aghakhani,· 337 reviews,Local Guide,4 years ago,You can't avoid this beautiful place. It's more than museum. It's history of Canada. The employees are very nice too people and they are matched with the place and history. The lady has a British accent and she is speaking very nice and smooth. She's accent is interesting to me because I like British accent.
James S,3 reviews,,10 months ago,"The guy who is working here is super rude and is not ready to help!
Bad customer service...Dont go to this location."
Jean Sturdy,7 reviews,,6 years ago,"Elaine is brilliant!
My printing supplier printed the wrong size envelopes and they therefore did not qualify as first class mail. This error would have raised my mailing costs by …"
Jan Normandale,22 reviews,,4 years ago,this is probably the last Canada Post office that's full service and staffed by Canada Post staff in Toronto. …
J C,· 20 reviews,Local Guide,a year ago,"Staff are too chatty, creating long line up. Also very passive aggressive. Find another location."
Ivan Madeira,9 reviews,,4 years ago,"No concept of queue management and waiting time management. If anyone is in front of you then bring a sleeping bag,  a thermos and a copy of war and peace."
Bisola Balogun,1 review,,a year ago,Very very poor customer service. Very Rude and non- chalant .
Nadia Caruso,9 reviews,,5 years ago,"Don't use this location!! They lost my return package for a full Month, lied to me that they didn't have it there, then tried to give it back to me saying it was my new package??? What the hell is wrong with the people here."
Iryna Pshonyak,· 45 reviews,Local Guide,5 years ago,"Nice staff, never busy. Never had any problems with shipping through this location."
Hall Lo,· 5 reviews,Local Guide,6 years ago,Unfriendly staffs with lots of passive agressiveness. Better go to another office unless you want your day ruined.
Alice,· 21 reviews,Local Guide,a year ago,get there and done! Nice and easy. No line in the early morning.
Floree Bautista,4 reviews,,5 years ago,The woman with the short spiked hair is rude as hell. She should not be in customer service.
kiran shajan,6 reviews,,7 months ago,Extremely rude staff.
Manmohan Singh,3 reviews,,a year ago,The staff working there is very helping.
Jeremy Foxcroft,· 59 reviews,Local Guide,6 years ago,I was helped promptly and efficiently. It was a quick and pleasant visit.
Brian Chan,· 46 reviews,Local Guide,4 years ago,"Friendly and efficient, lines never long. Open early."
Glany Saldanha,· 344 reviews,Local Guide,4 years ago,Friendly staff and decent customer service.
John Gerrow,3 reviews,,6 years ago,This location is closed on Sunday. The hours posted online are not accurate.
Varinderjit Singh,11 reviews,,9 months ago,Very foolish policies
Mika Che,8 reviews,,11 months ago,Poor customer service
Mike Smith,9 reviews,,7 years ago,Amazing customer service.   Thank you Richard
kiran nishat,2 reviews,,9 years ago,Canada post is The worst post i have ever experience
Harry Norman,· 31 reviews,Local Guide,6 years ago,NOT open on a Sunday day
Muneeb Khatana,· 107 reviews,Local Guide,4 years ago,Decent Customer Service
Sonia Sosa,1 review,,a year ago,It doesn't work for me it stops eve …
amely,4 reviews,,a year ago,my wattpad notification from h …
Umikalsumumicora Umikalsum,1 review,,5 years ago,my cel …
Donatello Scuto,12 reviews,,5 years ago,Very interesting
Wendy Uzz,· 48 reviews,Local Guide,2 years ago,
Julián Pulgarín,1 review,,5 years ago,
dexter 0918,5 reviews,,6 years ago,
Ali Al Dallal,· 174 reviews,Local Guide,5 years ago,
Saku Hime,· 130 reviews,Local Guide,3 years ago,
Razak Zaidi,5 reviews,,2 years ago,
Tess Ulrich,· 9 reviews,Local Guide,4 years ago,
Alina Pavlova,5 reviews,,4 years ago,
Key Zurc,1 review,,5 years ago,
Sergei JEGOROV,· 7 reviews,Local Guide,7 years ago,
NdriFath Tv,,,5 years ago,
Patrick,11 reviews,,3 years ago,
Ismaila Diallo,,,7 years ago,
Павел Чудаев,· 6 reviews,Local Guide,2 months ago,
Nafis Ali,5 reviews,,a month ago,
Наталья Щелкунова,3 reviews,,4 months ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Dan B,6 reviews,,a month ago,"This has to be one of the worst Canada Post locations, mainly because of an employe who is so rude and obnoxious. I am surprised he still has a job there! While waiting in line i heard him gossip about people who are doing returns, now this …"
Erin .G,1 review,,a month ago,They used a glue stick to attach my shipping label. I had to bring my own tape and scissors in to attach the label properly. The attendants are very rude and condescending. It was a very weird experience. Surely Canada Post can do something about this terrible location?
Kev J.,1 review,,a month ago,"The staff here is very nice and helpful, this Canada post outlet is very busy and I've seen customers get very rude with the staff because wait times can be long. I've been using this outlet for 10 years and I've never had a bad experience."
Anna Finkelshtein,16 reviews,,a year ago,"Came with a QR code and a box ready to ship. The QR code acts as the shipping label. As the email states ""Simply show this email to a participating Canada Post Office location and you're good to go."" …"
Bryce Fulton,· 17 reviews,Local Guide,2 years ago,"Not the best, not the worst - there is often a holdup because of small businesses dropping off 10+ packages that are not ready to go. I would suggest that they do a Canada post parcel pickup, it costs $3 and they come to you to pick up all …"
Sagar Goswami,· 212 reviews,Local Guide,9 months ago,This place has always been a one stop solution for me. Staff is friendly and knowledgeable. They take care of your drop offs. Sometimes suggest or highlight if any information is missing. Glad that they are conveniently located inside rexall.
Tavia C,· 49 reviews,Local Guide,a year ago,"It’s a franchise not a real post office, for packages it’s cheaper to go to a real post office on Bloor street. Also they are supposed to have money orders, Nada. I only go there to pick up and they don’t have a separate pickup line. The …"
Anna Log,14 reviews,,2 years ago,"I usually get  the older man and it has always been a good experience. NOT the ""chatty warm and friendly"" type but hey I DON'T want that in a place that always has line ups! He's professional and knows what he's doing. Sometimes I get the …"
Ricardo Muñez,6 reviews,,3 years ago,"I asked if the staff could make the shipping label for me and offered the relevant information on my phone. The male attendant at the time refused this request, gave me a pen, and told me to move so that he could attend another person. This …"
Elliott C Smith,· 19 reviews,Local Guide,a year ago,"Super slow, you really have to time it or the line ups are brutal. I don't find the staff terrible as others have commented, just the general level of disinterest you expect from Canada Post employees. I go to the one in the Shoppers at Keele if I can (although it's farther away for me), much better."
Gabriel Sales,· 264 reviews,Local Guide,4 years ago,"Before I came in I wondered why the reviews were so low, but I found out very quickly after I arrived ..
This is the first time I seen a post office make me put the sending return label …"
Paul Simoes,· 85 reviews,Local Guide,4 years ago,I come here often. The staff are familiar with me and I am familiar with their duties/roles. They often get disgruntled and rude customers because they cannot claim their package without proper id or something. There have been many cases …
Eldo P,· 48 reviews,Local Guide,4 years ago,Called regarding 2 of my parcels. The lady who picked up the phone was incredible rude. I was asking why I get a notification for a small parcel rather than leaving it outside of my door as usual. She keep saying I have to come back to pick …
Amanda N,10 reviews,,5 years ago,The reason why I order online less and less. I've waited an hour to simply pick up a package countless times. The audacity CP has in having ONE staff member at peak hours while the line snakes out the store is just amazing. The height of incompetence.
Vlad Katkov,· 12 reviews,Local Guide,5 years ago,UPDATE Feb 2018: Service improved significantly. Usually 2 or 3 staff at the counter now. Looks like Canada Post took these reviews to heart. …
Irene Guerra,3 reviews,,a year ago,"I sent an envelope with a passport to a consulate in Ottawa on May 27, almost 3 weeks ago, and the guy who received my envelope just put it as regular mail, and not the mail with tracking, I sent the package in a hurry so I didn't realize …"
Sarah Arrunategui,· 37 reviews,Local Guide,2 years ago,"Older gentleman (though age does not matter) working here was so kind  and actually was not phased to send out 50 parcels'  - sorry to that man, I know that is an absurd amount of parcels! …"
Richard Perritt (VA3RJP),· 53 reviews,Local Guide,4 years ago,"Can be long lineups usually around the 1st of the month. There's been either a management or ownership change and this is reflected in the quality and speed of customer service. This is, now, quite possibly the slowest Canada Post location I have ever seen in 30+ years. [Previously 4/5 rating and mention of friendly staff]"
Bronwyn Featherstone,· 44 reviews,Local Guide,a year ago,"The staff remember me and are very friendly. It’s  unfortunate that other reviews say otherwise, everyone has bad days I guess. The line can be long sometimes, but since it’s a small location I think that’s to be expected."
ashley fernandes,4 reviews,,5 years ago,"It was my 1st time using Canada post. It was horrible experience. I asked them couple of basic questions how you to use the post, how to track the package and is everything is okay since i was sending my documents to the immigration office. …"
Sean Yang,· 128 reviews,Local Guide,5 years ago,"Incredibly rude and lazy staff. Always a lineup no matter what and the people working there, especially the manager named Zofia, is very unpleasant. She treats everyone like she's being bothered by them. She makes this whole situation of overflowing packages immensely painful to deal with."
Michael Xavier,5 reviews,,5 years ago,"Terrible. There is only one guy there that knows how to do his job. If you don't get him, expect long lines, with no forethought to get things done faster. Better to just shut the place down if they aren't going to have more than one person at the counter or train their employees properly."
Miguel Huber,· 164 reviews,Local Guide,4 years ago,Came to pick up a package and the clerk is on a break... If I knew I wouldn't have walked all the way. Post your break times online?have more than one person on duty? Idk...it's pretty shady that such a business can't have someone to cover their business hours.
Muslim Networking Group - Toronto,3 reviews,,5 years ago,"They refuse to answer my call, and i have had a package at their office for a few days now because they were supposed to deliver it, and they said i was not home so they left a card. Well i was home that day, nobody came, and nobody left a …"
Alex Burrows,4 reviews,,3 years ago,"The worst service you can ever get.  I was told today by the blonde lady who works here that ""We are not here to serve the customer"" after I had asked for help with a pre-paid package that would not scan correctly.  She's rude to everyone, every time I go here."
Gavin Bird,9 reviews,,5 years ago,"Absolute diabolic customer service. I had an gargantuan creaton of woman (Zofia her name was; avoid her like the plague) serve me who was nothing but hostile, bitchy, and acting like she was a disgruntled teacher talking to a child who …"
emily challis,· 18 reviews,Local Guide,4 years ago,"Came in happily surprised to see no line up for once, but then no one was at the counter. Line up forms, still no one at the counter. No sign saying be right back, on break or anything. So I went behind the counter, pushed the door and …"
Ta What,· 13 reviews,Local Guide,a year ago,I come here to send packages and letters. Staff is always very quick and professional. If only people could stop paying with change…
Tiana Feng,10 reviews,,5 years ago,"I went 4 days in a row to pick up one package but there has been one difficulty after another: package not scanned by 1pm, the system down, employee left half an hour early, no employee showed up for afternoon shift. They should hire people who actually do their job"
Olesya Komarnytska,4 reviews,,2 years ago,"Shipped 4 large boxes to AB yesterday. Very good customer service at this location from the woman who helped me and reasonable rate, much better than UPS or other shipping options I looked into."
Andre Cyr,2 reviews,,4 years ago,"Service here is beyond terrible. I was left with a delivery notice and that a package would be available to pick up after 1 pm the next day. Came by the next day at 2:30 and no package, woman working told me come back a few hours later and …"
Anya Singla,· 5 reviews,Local Guide,6 months ago,Incredible rude and unhelpful staff. Only visit if you have collection.
Connor Thompson,· 66 reviews,Local Guide,2 years ago,Came to return a delivery. They weren't very helpful.They apparently did not have a printer which seems crazy considering all packages need labels and most stores need a printers for various uses. I then needed to go elsewhere to get a …
Shannon Sousa,8 reviews,,5 years ago,This is the worst post office location I've ever been to. This is the second time I made my way all the way there and get turned away because the employee hasn't sorted out the mail from the day before. Even though my slip says pick up tomorrow after 1pm. Worst post office and staff are horrendous at customer service.
Dani,6 reviews,,2 years ago,"Recently went there and had experienced great customer service, sending my package was quick and easy despite the reviews."
ThaDuDeMaN,230 reviews,,3 years ago,"so a line up of over 10 people and 2 serving... then one looks directly at the people and walks off... i ask where hes going... and the other guy says ""on break""... ok thats great... is there someone else?... nope just the 2... the one …"
Jeffery Straker,8 reviews,,5 years ago,Always excellent service at this post office outlet.  They're fast and they give you all the options for lower rate services in case you're interested.  I use it all the time.
Denis Titov,6 reviews,,5 years ago,Very helpful staff. I never experienced any parcel or delivery loss. The place is often has a line but they seem to be on top of it.
Travis Freeman,· 23 reviews,Local Guide,5 years ago,"Most of the time its ok.  But I went two days in a row only find the post office closed during their posted hours.  Took me three trips to pick up one package, with no explanation.  Called Canada Post and they told me someone should be there, and try again the next day."
Drekken Pownz (DrekkSama),· 14 reviews,Local Guide,5 years ago,"Legit hit or miss on whether or not you get good service at this outlet. There is only 1 employee who gets it and he's pleasant to talk to, the rest handle you with disdain."
Gabrielle GL,· 126 reviews,Local Guide,5 years ago,Very poor customer service with a condescending and outrageous manner to talk to customer. The clerk litterally laughed at me. Wondering why the management keeps such bad employees in their post office.
Danny Bernard,· 107 reviews,Local Guide,5 years ago,I had a really good experience here. New staff working together and being very customer orientated. Will use this location from now on.
Adam Thompson,· 46 reviews,Local Guide,5 years ago,Couldn't find my package that had been scanned upon delivery... Did find a package that was not supposed to have been delivered yet.. disorganized and understaffed.
Forty ThreeForty,2 reviews,,4 years ago,"Absolute worst service. The guy usually working here is incredibly rude and constantly on break. Would not recommend this location, ever."
htical,· 63 reviews,Local Guide,2 years ago,"Great post office, always busy, staff are always friendly and patient."
K J,8 reviews,,4 years ago,"Workers and customers here are angry, miserable and they all look suicidal. Maybe cause the poor area? Avoid if you can.....keep driving...."
Nicholas Gauthier,3 reviews,,5 years ago,I don’t appreciate having to spend 30 minutes on Sunday waiting for this guy to come back from his lunch. This place is a joke. Why can’t Canada Post find a competent franchisee to run this location?
Edwin Van Damme,· 104 reviews,Local Guide,7 years ago,Great small office on the left side of the store block. The man that help me was friendly. And help me to send my letter 📄 …
SVTKooks,4 reviews,,2 years ago,The most frustrating post office I have ever been to. Don't bother.
Daniella R,2 reviews,,3 years ago,Pretty bad service. And your documents are not delivered on time as supposed to be. Completely disappointed.
Azz Tastic,4 reviews,,4 years ago,"With the exception of John, the staff here is horrendous. Rude, abrasive and unhelpful. I can’t believe Canada Post hires people like this."
Hyukin Kwon,2 reviews,,4 years ago,Just a very terrible service. I wish i could give a zero star for a blond old woman working there
Carlos Calderon,· 95 reviews,Local Guide,4 years ago,Horrible customer service. I'm leaving 2 stars only because there are a couple of people that are nice.
Mike Iszak,· 44 reviews,Local Guide,3 years ago,"Posted hours until 9pm, get there and they close early ""because COVID"". Website not updated either."
Lisa Campitelli,4 reviews,,4 years ago,Won’t answer the phone! Trying to see if my package is there and they won’t answer.
DK,31 reviews,,5 years ago,Service is the worst!! Had to go there 3 times till they found my package
shary boyle,1 review,,5 years ago,Beware their dinner/break times- they only have one staff on site so will leave their post for up to an hour with no service.
Jason L,6 reviews,,4 years ago,"The ladies working here are very rude. Simple questions could not be answered, directed me the website.....terrible service."
Mark Cameron,7 reviews,,4 years ago,Absolute trash service. If a package has my name on it that's my damn property.
Shari Kasman,· 73 reviews,Local Guide,5 years ago,"The service here is a little slow, but it's open on Sundays."
Nikolai Efimov,· 154 reviews,Local Guide,4 years ago,"The staff are helpful and nice, but this place is clearly under-resourced and mismanaged."
Isael Mora,5 reviews,,2 years ago,"Very good workers, fasters and nice peaople"
David Garzon,1 review,,4 years ago,Most horrible customer service at this location. Avoid at all cost.
Dillon L,· 106 reviews,Local Guide,4 years ago,Staff lacks discretion; difficult to do business with these staff.
Nabhan Chowdhury,· 175 reviews,Local Guide,5 years ago,"Long wait, excellent customer service."
Pan Wang,5 reviews,,2 years ago,"Worse staff service, avoid this location"
Adrian Aymont,· 30 reviews,Local Guide,2 years ago,Could be the slowest Canada Post location that exists on the planet.
Peter Battershill (Kelly and Peter),10 reviews,,3 years ago,Operating hours posted online are not accurate.
Juyong Jeon,1 review,,2 years ago,There is no printer.
Tom Chen,9 reviews,,3 years ago,Worst po ever
Michelle Pelletier,· 90 reviews,Local Guide,3 years ago,The staff was friendly
Benoit Lapierre,6 reviews,,a year ago,Flawless team
sayo,· 501 reviews,Local Guide,a year ago,"Always friendly and nice service👍
Beautiful store. I think it's a less crowded post office. The full-time male staff is especially kind. They also sell regular envelopes, padded envelopes, tapes, and commemorative coins."
Anna Pavlova,9 reviews,,4 years ago,
jasonsgeneral,· 19 reviews,Local Guide,7 months ago,
Jotaro San,3 reviews,,3 years ago,
Tenzin Dhadon,,,4 years ago,
Joao Martins,1 review,,a month ago,
Melvin Parinas,11 reviews,,5 years ago,
Mark Bone,· 35 reviews,Local Guide,4 years ago,
,,,,
Fabienne Ledelaizir,· 12 reviews,Local Guide,6 months ago,"I should've read the reviews before visiting. Employee named sherry sees you in a rush and suddenly becomes slower than a snail, on purpose to annoy you. If she hates customer service that much, I advise her to change job. What a pathetic behaviour..."
Mitchell Bisnett,1 review,,6 months ago,"Lady was rude, did not provide a receipt after verification process was completed which I was informed she should have. Low review scores make sense"
Michelle,8 reviews,,4 years ago,"The lady at the counter was polite and lovely. She was patient with my purchase of stamps for my postcards going to 4 different countries.
And yes and she was most probably the same lady (in terms of physical experience) described in the reviews below, however she was very nice."
Jenny Lim,5 reviews,,4 years ago,"I just visited this Canada post today to send an international parcel. In contrary to some of the reviews below, the Asian lady was nothing but lovely and very helpful. I will hazard a guess and say those who thought otherwise were probably sassed for being rude to her in the first place.. five stars for the lovely lady!"
C,· 19 reviews,Local Guide,4 years ago,"You know when you walk into a store and you are greeted with an exceptional experience by someone who goes above and beyond, obviously enjoys their job, and leaves an impression that makes you want to come back? I know, you're shocked …"
Julia Hovanskaya,· 133 reviews,Local Guide,2 years ago,"The manager of the store was rude and not accommodating. Seeing me in rush, she did many things to purposefully delay me with other customers. She didn't answer my questions and threw a receipt at me. Manager is not managing well"
HECTOR JF,· 29 reviews,Local Guide,3 years ago,"I sent a package and the lady called Mary put the wrong postal code, then after correcting the mistake on the phone Canada post change the delivery from expedited parcel to standard, now the delivery date went from 4 days to 3 weeks. Very unfair when they made the mistake"
Katie Di,10 reviews,,5 months ago,the customer service was not good at this location
G M,12 reviews,,2 years ago,"Best customer service I ever had at canada post office. Sherry is not only professional and efficient, but had experience and the knowledge to quickly solve the issue we needed help with"
Harpreet Kaur,1 review,,2 years ago,"The lady is unbelievably rude ,when I ask my question regarding the sending process of  my parcel.It’s very disappointing when she looks me from up and down and change their way of speaking."
Ms D,1 review,,4 years ago,"Need to change the old crumpy lady with white hair and don't know how approach the customer, if the customer having trouble on online order."
Firas Aldosari,3 reviews,,4 years ago,The asian old lady is unbelievably rude. It like she is trying so hard to pick up a fight.
John Norton,· 316 reviews,Local Guide,2 years ago,Always excellent service from our national mail service.
Alyssa Dixon,9 reviews,,a year ago,Rude customer service
Teri Wong,7 reviews,,a year ago,Rude and bad service
Roman T,· 46 reviews,Local Guide,3 years ago,Very helpful!
Keerthi Chandra P,· 169 reviews,Local Guide,11 months ago,
ryn rodriguez,· 10 reviews,Local Guide,a year ago,
Arnaud Schneider,,,4 years ago,
YC Chen,,,4 years ago,
Hasan Albash,· 7 reviews,Local Guide,3 years ago,
Huyen Anh Kieu,8 reviews,,3 years ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Tahira Butt,· 123 reviews,Local Guide,a month ago,"Because our package status wasn't updated since 16th march, we were under serious pressure of the feeling that we lost our package containing very important documents, we went to check if the parcel arrived at the post office. The lady at …"
JL,2 reviews,,7 months ago,"I've been to this location a few times and have always gotten bad vibes from the staff, and after seeing the other reviews, I can't say I'm surprised. Today confirmed that I will no longer come to this location. I was dropping off an …"
Karra Peppler,· 26 reviews,Local Guide,6 months ago,"I had a great experience at this post office, I went in to pre buy a box for international shipping and there was a guy working there who was really helpful with giving me quotes on prices. The next time I went in there were some different people working but everything went really smoothly. Thank you!"
Dana Dana,20 reviews,,7 months ago,"This location deserves a negative star rating because of the guy working here. Seems he's the same person from every other 1 star here. I came in to ship express, asked how long will it take to Calgary he goes ""pre-covid 2 days now I don't …"
Jeonjeon_Guki,12 reviews,,a month ago,Very rude staff-John is unwilling to help me out. Train your staff to have a better attitude!
Irina O,6 reviews,,9 months ago,Please choose other location for whatever purpose. I choose this location for Amazon pick up and I wasn't able to pick up my package. The person asked for ID though nothing says about ID on the email with pick up code. I didn't have my ID …
Justin M,4 reviews,,4 months ago,Super helpful staff; friendly and helped me get all the stamps I needed.
Abhi R,· 40 reviews,Local Guide,2 weeks ago,Terrible service by the guy at the counter. The bad ratings make sense now
Elena Folea,6 reviews,,7 months ago,"on October 5, 2022 I visited this office and I had a bad experience. I wanted to use their moneygram service and I was told by the female staff that it is not working. I asked for a phone number so I can call later and I ask if the system …"
Hadley King,2 reviews,,6 months ago,This is a great post office. Staff were extremely helpful and patient with answering our questions.
Elena Folea,6 reviews,,7 months ago,"on October 5, 2022 I visited this office and I had a bad experience. I wanted to use their moneygram service and I was told by the female staff that it is not working. I asked for a phone number so I can call later and I ask if the system is back on and I was told with sarcasm, by the same staff member that they cannot give it out. I find this very rude and unacceptable. customer service at this branch is at its lowest."
David Stone,2 reviews,,2 years ago,"I actually feel for the staff there...been going there for years, and always got great service.Sadly, all too often, I have witnessed customers berate the staff for things beyond their control- like who would try and pick up a parcel …"
Helena Yuu,2 reviews,,2 years ago,"Awful customer service. I was sending away several large packages, and had trouble creating a QR code for one of them. I asked for assistance, and instead of helping, the man said ""call customer service"" and disregarded any other questions …"
Jenna Vander Doelen,4 reviews,,6 months ago,"Incredibly poor customer service. Staff are very unwilling to help when I have questions, multiple visits with multiple frustrations. Not good with pre-labelled drop offs"
SUNNY DALIA,· 120 reviews,Local Guide,10 months ago,If get chance I would give less that one star. Please choose other location and not this one for whatever purpose you want unless you absolutely need to use this one. The behaviour of the person is pathetic. Very rude. Denies services … adamant about the timings… doesn’t want to help attitude.
Mirette Mekhaeil,· 10 reviews,Local Guide,2 years ago,Should have read the reviews of this place before going... I just went to go send a Valentine’s Day gift to my boyfriend who I can’t be with due to covid this year. The whole time the staff was rude and horrible. No explanations about …
Kai,5 reviews,,a year ago,"This place has the worst customer service I’ve ever experienced. The staff there was super rude and impatient. When I asked them to show me the return policy, they just told me that they know it, and the answer is no. They also constantly cut me off when I tried to ask questions. I’d give 0 stars if I can."
Anna Pan,6 reviews,,a year ago,"Horrible customer service. Never had such a bad experience with Canada Post before.  Do yourself a favour and go to a different location. At literally any other location, the workers would be more than happy to help and you wouldn’t get yelled in the face."
Shoreh Zokai,4 reviews,,7 years ago,"Very helpful staff, as they gave me tips on how to save money for my small business shipping internationally.  Appreciated the fact that he sensed my concern for how I was loosing money due to high shipping costs and he provided me options …"
Ingrid,· 136 reviews,Local Guide,3 years ago,Very bad customer service and unprofessional. The person who were sitting there did not even tried to help me out with my lost package. Both men mentioned that it was not their problem and that I should only contact the online customer …
